frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,321701.994307,214420.000000,10186.067445
4,168176.949143,72542.000000,1644.281606
8,105703.616939,49355.000000,44.698993
16,533557.836233,258590.000000,2882.044066
32,105240.627782,61278.000000,3432.636013
64,90197.481944,31927.000000,1519.783208
128,320681.296761,144935.000000,2363.583508
256,497160.776341,284181.000000,284552.478153
512,158225.039080,72392.000000,44424.831682
1024,224349.664644,66428.000000,2720.826713
2048,267035.846461,137656.000000,57884.190467
4096,487616.046297,226547.000000,325601.044699
8192,1128865.822467,341318.000000,316582.275541
16384,448955.478275,154115.000000,65491.206127
32768,744580.027612,259010.000000,364909.942846
65536,351998.982585,149038.000000,160906.545504
