frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,139195.235601,84787.000000,592.400203
4,148726.333435,59098.000000,108.471194
8,134132.434303,63430.000000,115.208507
16,589070.627788,200650.000000,5619.815299
32,265148.445773,180779.000000,634.352426
64,192129.974764,93292.000000,7602.551085
128,96352.274571,36569.000000,135.062948
256,626157.447673,279631.000000,21954.107269
512,200459.381320,84464.000000,6377.694725
1024,501603.234817,217225.000000,26476.363175
2048,370141.269232,246496.000000,57130.355600
4096,394232.218593,168345.000000,226473.122527
8192,254747.279251,92565.000000,37206.274041
16384,635333.896794,275301.000000,382309.119987
32768,799435.477616,275487.000000,483908.966486
65536,243387.909973,79813.000000,32374.018719
