frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,226532.160752,84933.000000,1790.409450
4,194608.270323,58067.000000,4057.207660
8,304182.206758,139709.000000,354.949292
16,309224.489420,145424.000000,1333.844069
32,239474.665856,119078.000000,1321.660698
64,404835.361841,154459.000000,3342.537360
128,444453.113483,142614.000000,4467.359063
256,344987.914248,117938.000000,10473.155733
512,834928.888566,249604.000000,64983.724078
1024,746744.540773,206809.000000,42187.581052
2048,351273.303181,93791.000000,73018.601336
4096,358668.830257,112579.000000,130545.369611
8192,458410.540800,102975.000000,204371.195691
16384,1274431.485499,237401.000000,924112.330094
32768,875819.427263,50772.000000,128610.020135
65536,3626028.019082,278741.000000,1322490.503052
