frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,435010.751890,208131.000000,941.239608
4,339788.813271,135338.000000,1039.280039
8,413141.076640,166772.000000,86.539009
16,217077.130617,110747.000000,2837.730431
32,258260.154083,201546.000000,1186.073354
64,273901.707377,172340.000000,1556.991329
128,368876.412484,109173.000000,7929.631643
256,312266.051397,97326.000000,13306.158198
512,390212.020343,239579.000000,7471.526417
1024,293160.439642,147219.000000,62482.119210
2048,759278.968710,301140.000000,102494.584296
4096,324626.517820,106152.000000,81613.521576
8192,409907.600509,192778.000000,15685.382845
16384,606750.719482,190672.000000,60685.169638
32768,1636135.901071,285989.000000,1241644.721142
65536,1082270.483522,103590.000000,1056451.297294
