frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,75130.455323,29649.000000,101.730035
4,159839.417053,53922.000000,377.398993
8,448780.876753,270977.000000,2025.230604
16,524260.845713,210714.000000,30.430248
32,245988.562374,164560.000000,5329.755529
64,435718.186773,250320.000000,3349.602364
128,269989.996226,255025.000000,4389.375810
256,107595.212612,36171.000000,806.845090
512,333269.092104,280485.000000,5344.990833
1024,715803.466315,242818.000000,93124.738464
2048,309435.523620,109749.000000,101954.309992
4096,379294.782605,150019.000000,74810.167925
8192,266430.071302,113864.000000,194019.665008
16384,776450.908793,239250.000000,388058.916471
32768,192587.173467,75154.000000,94246.610639
65536,378504.344642,53076.000000,358637.091130
