frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,298112.343010,202803.000000,1077.559279
4,312071.045115,141644.000000,921.404906
8,359622.759570,183693.000000,901.373397
16,454537.217324,324470.000000,522.919688
32,759037.827021,528097.000000,8603.380150
64,344487.202729,171875.000000,17181.318663
128,637592.781299,264126.000000,11298.389221
256,357914.041754,180897.000000,22576.016500
512,641076.794802,259470.000000,21167.307977
1024,435229.437716,180665.000000,8177.529150
2048,212624.329690,123139.000000,34054.329240
4096,950843.873634,295852.000000,336773.373591
8192,595366.525796,210696.000000,119712.920184
16384,290901.197342,102012.000000,233833.222156
32768,2088718.217237,273347.000000,1311847.738797
65536,1048333.971296,310438.000000,992653.604447
