frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,255899.210059,128812.000000,49.719212
4,323000.714012,166331.000000,9976.475580
8,77405.204689,32651.000000,562.827682
16,309829.297716,192452.000000,1852.024568
32,112965.295613,37515.000000,194.540484
64,456077.200327,155660.000000,4663.608260
128,535790.405810,193295.000000,21898.076354
256,462870.766576,141900.000000,12411.906582
512,519626.394903,156752.000000,19989.699923
1024,801720.738385,268198.000000,27489.851527
2048,458699.529226,126694.000000,160207.372683
4096,925651.547667,198632.000000,225037.793986
8192,453263.746258,114129.000000,135924.738804
16384,875268.849604,161600.000000,255209.902047
32768,291916.283951,54694.000000,243185.435096
65536,2407299.619052,207004.000000,1355547.618790
