arrival_rate,Rdynamic/RR_ratio,Rdynamic/SRPT_ratio,Dynamic/SRPT_ratio,Rdynamic/SETF_ratio,Rdynamic/FCFS_ratio,Rdynamic/RMLF_ratio,Rdynamic/Dynamic_ratio
20,0.4694845487641,1.992590493442527,1.0688151950830262,0.6934466653961071,0.6533681285198328,1.2119261010227511,1.8642984330773305
22,0.5398383410991534,2.1399608261422816,1.639785997682467,0.8752140860636544,0.8286154164995446,1.2673197319044776,1.30502445390235
24,0.4882336674933055,2.00957428138086,1.081672096722512,0.8571930731890428,0.8157796286484411,1.1724742063996394,1.8578405484156515
26,0.5421679752480193,2.18182886861052,1.1289229698977283,0.963350294298856,0.9599102937281558,1.2742326449758443,1.9326640761044809
28,0.4069359322995525,2.5206007505184496,1.2815186117177024,1.055169678656695,0.606387652838103,1.5082507293251584,1.9668857927392287
30,0.5023364105808089,2.290043432626728,1.135972290279876,0.9688283297404016,1.061743860649153,1.3356042274689708,2.015932476717824
32,0.4324302918765945,2.3455549214337488,1.0907347301778982,1.0615753759361428,0.9375389710333398,1.3289306812184778,2.1504357168962525
34,0.3729788577997072,2.557560417293056,1.1558999854284624,1.0588802086797644,0.7725736192418508,1.4742869271170524,2.2126139367888595
36,0.3746753619168428,2.5967265961900234,1.1605507574889071,1.2134477551805722,1.0516672648486032,1.456929076116142,2.23749506812488
38,0.32569208136042,2.6406758585141312,1.1732356380541804,1.248927926624581,0.8725208445869171,1.5590840182401804,2.2507634211433527
40,0.37017703606472724,2.606184460865545,1.171814980452267,1.2251559273839332,1.0807513217601978,1.484707809819411,2.224057982139533
