frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,208211.726620,155648.000000,169.540556
4,485194.828696,232950.000000,3922.215445
8,534140.182974,254793.000000,239.033470
16,153364.861559,80711.000000,119.398492
32,247684.065275,147999.000000,876.147248
64,944462.502027,312072.000000,9971.284571
128,446602.217383,150799.000000,63258.247431
256,246149.736299,102165.000000,18458.157004
512,554199.932931,299173.000000,14187.167476
1024,287898.510481,190938.000000,2189.204422
2048,508088.375555,160467.000000,53919.759820
4096,961539.639033,319164.000000,99508.925193
8192,468757.379385,218266.000000,166417.795458
16384,808336.090672,255444.000000,119782.271660
32768,999191.210542,244941.000000,421633.434885
65536,427545.777012,159748.000000,344052.586026
