frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,747057.933966,89541.000000,6513.531300
4,440930.698509,58183.000000,4922.247556
8,485777.342516,69485.000000,20749.348568
16,537574.335459,79660.000000,8177.409186
32,1002344.947153,127537.000000,21508.459103
64,1542640.411786,198839.000000,175895.366133
128,1114900.023254,147570.000000,16129.108469
256,526808.070551,75109.000000,23682.527188
512,1288837.903325,168300.000000,154177.399443
1024,1750285.110293,177564.000000,70239.632352
2048,1378233.274997,158588.000000,289164.847170
4096,2238165.969083,230592.000000,863663.953473
8192,1106813.797877,147049.000000,666276.673296
16384,1153147.584961,141923.000000,615433.240578
32768,2157699.066110,178887.000000,833691.401636
65536,2815802.176748,104834.000000,2427019.137254
