frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,323189.941870,138961.000000,1950.962070
4,522708.327175,178972.000000,35711.157878
8,619193.257295,180760.000000,5442.473886
16,696933.661212,223007.000000,4164.695187
32,445823.298659,160294.000000,1257.976550
64,379773.146069,103495.000000,12262.044813
128,1128071.299381,260408.000000,75105.755785
256,864701.025629,222815.000000,1494.937791
512,320788.541630,85143.000000,3522.879362
1024,1089318.583324,263967.000000,220275.394972
2048,538293.425132,180617.000000,107563.074961
4096,672666.556090,232344.000000,122325.489568
8192,1135631.072393,289627.000000,541525.537303
16384,2113323.618083,300802.000000,1093613.232104
32768,514083.121167,142260.000000,283610.187920
65536,1502578.505634,180084.000000,965145.735548
