frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,163344.346303,55414.000000,353.908180
4,286209.435390,127585.000000,643.283763
8,427553.938249,196143.000000,970.243268
16,307246.289260,158926.000000,10129.528419
32,170447.629092,67449.000000,376.397396
64,110947.942288,51373.000000,3546.224048
128,598848.766030,198976.000000,2594.677437
256,158407.809309,72334.000000,17159.581463
512,201323.185607,121778.000000,7639.507772
1024,175034.454520,82222.000000,25796.103814
2048,216904.234906,69926.000000,91407.354529
4096,508030.993711,163094.000000,66260.519746
8192,325332.436552,157171.000000,118403.628319
16384,714964.347730,239697.000000,397900.391999
32768,726075.475810,265017.000000,372034.912108
65536,417224.704488,140863.000000,415793.542482
