frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,801883.340013,334467.000000,777.412374
4,335327.205881,160292.000000,879.299153
8,104946.029329,51982.000000,370.235060
16,90380.743546,63845.000000,1568.865832
32,196352.196856,108110.000000,332.834794
64,320085.289760,170857.000000,1281.230658
128,433740.101244,243667.000000,4048.759193
256,141823.782075,102404.000000,952.657336
512,329915.682554,269495.000000,2224.196709
1024,369588.585692,203559.000000,43724.031687
2048,573875.235959,436295.000000,15592.104605
4096,267174.724010,200306.000000,7874.002350
8192,245924.398985,141394.000000,36937.472085
16384,160383.399247,93135.000000,49681.741535
32768,350110.595094,117218.000000,24807.372634
65536,532842.579376,232381.000000,65682.195655
