arrival_rate,bp_L,bp_H,FCFS_percentage,RMLF_percentage,total_rounds
38.00,90.00,36,100.00,0.00,99
40.00,90.00,27,100.00,0.00,99
28.00,90.00,36,100.00,0.00,98
28.00,19.70,4096,8.08,91.92,99
28.00,32.30,512,91.84,8.16,98
28.00,90.00,27,100.00,0.00,98
40.00,90.00,36,100.00,0.00,99
34.00,90.00,18,100.00,0.00,99
26.00,90.00,36,100.00,0.00,98
24.00,32.30,512,92.86,7.14,98
32.00,90.00,18,100.00,0.00,99
40.00,90.00,18,100.00,0.00,99
24.00,90.00,18,100.00,0.00,98
40.00,15.30,32768,11.00,89.00,100
22.00,19.70,4096,11.58,88.42,95
36.00,90.00,18,100.00,0.00,99
26.00,19.70,4096,5.10,94.90,98
40.00,13.00,262144,6.00,94.00,100
24.00,13.00,262144,12.00,88.00,100
22.00,90.00,36,100.00,0.00,97
38.00,90.00,18,100.00,0.00,99
38.00,90.00,27,100.00,0.00,99
34.00,32.30,512,90.91,9.09,99
36.00,90.00,27,100.00,0.00,99
26.00,90.00,18,100.00,0.00,98
26.00,90.00,27,100.00,0.00,98
34.00,90.00,36,100.00,0.00,99
24.00,90.00,27,100.00,0.00,98
30.00,90.00,36,100.00,0.00,99
40.00,32.30,512,91.92,8.08,99
28.00,90.00,18,100.00,0.00,98
22.00,32.30,512,92.86,7.14,98
30.00,15.30,32768,13.00,87.00,100
32.00,15.30,32768,8.08,91.92,99
22.00,15.30,32768,5.00,95.00,100
34.00,90.00,27,100.00,0.00,99
20.00,90.00,18,100.00,0.00,97
20.00,15.30,32768,7.07,92.93,99
22.00,90.00,27,100.00,0.00,97
22.00,90.00,18,100.00,0.00,98
36.00,19.70,4096,13.13,86.87,99
36.00,13.00,262144,6.00,94.00,100
28.00,13.00,262144,8.00,92.00,100
32.00,90.00,27,100.00,0.00,98
38.00,15.30,32768,9.00,91.00,100
20.00,13.00,262144,9.09,90.91,99
36.00,90.00,36,100.00,0.00,99
30.00,19.70,4096,11.22,88.78,98
30.00,90.00,27,100.00,0.00,99
26.00,32.30,512,86.73,13.27,98
30.00,13.00,262144,11.46,88.54,96
20.00,90.00,36,100.00,0.00,97
36.00,32.30,512,89.90,10.10,99
20.00,32.30,512,90.72,9.28,97
38.00,13.00,262144,11.00,89.00,100
32.00,32.30,512,87.88,12.12,99
34.00,13.00,262144,5.10,94.90,98
30.00,32.30,512,91.84,8.16,98
32.00,90.00,36,100.00,0.00,98
34.00,15.30,32768,6.00,94.00,100
24.00,90.00,36,100.00,0.00,97
26.00,15.30,32768,13.27,86.73,98
40.00,19.70,4096,12.00,88.00,100
36.00,15.30,32768,4.00,96.00,100
38.00,32.30,512,90.91,9.09,99
26.00,13.00,262144,7.07,92.93,99
28.00,15.30,32768,6.25,93.75,96
34.00,19.70,4096,3.06,96.94,98
30.00,90.00,18,100.00,0.00,98
24.00,19.70,4096,5.15,94.85,97
22.00,13.00,262144,7.07,92.93,99
32.00,13.00,262144,7.00,93.00,100
20.00,90.00,27,100.00,0.00,97
32.00,19.70,4096,9.09,90.91,99
24.00,15.30,32768,5.10,94.90,98
20.00,19.70,4096,11.34,88.66,97
38.00,19.70,4096,4.08,95.92,98
