arrival_rate,bp_L,bp_H,FCFS_percentage,RMLF_percentage,total_rounds
40.00,90.00,36,100.00,0.00,99
28.00,13.00,262144,7.00,93.00,100
34.00,90.00,27,100.00,0.00,98
38.00,90.00,27,100.00,0.00,99
34.00,90.00,36,100.00,0.00,99
20.00,90.00,36,100.00,0.00,97
20.00,19.70,4096,6.12,93.88,98
36.00,90.00,18,100.00,0.00,99
30.00,32.30,512,92.93,7.07,99
28.00,32.30,512,88.78,11.22,98
38.00,90.00,36,100.00,0.00,99
22.00,90.00,27,100.00,0.00,98
28.00,90.00,27,100.00,0.00,98
30.00,90.00,18,100.00,0.00,99
20.00,32.30,512,96.91,3.09,97
22.00,90.00,18,100.00,0.00,98
32.00,32.30,512,92.93,7.07,99
32.00,90.00,18,100.00,0.00,99
24.00,19.70,4096,4.08,95.92,98
40.00,90.00,18,100.00,0.00,99
36.00,90.00,27,100.00,0.00,99
20.00,15.30,32768,8.08,91.92,99
24.00,90.00,27,100.00,0.00,98
22.00,19.70,4096,9.18,90.82,98
20.00,90.00,18,100.00,0.00,97
20.00,90.00,27,100.00,0.00,97
40.00,90.00,27,100.00,0.00,100
34.00,32.30,512,90.82,9.18,98
40.00,32.30,512,92.93,7.07,99
30.00,90.00,36,100.00,0.00,99
30.00,19.70,4096,11.11,88.89,99
30.00,15.30,32768,6.06,93.94,99
28.00,15.30,32768,8.16,91.84,98
32.00,90.00,27,100.00,0.00,99
22.00,32.30,512,86.60,13.40,97
32.00,19.70,4096,8.08,91.92,99
40.00,19.70,4096,11.11,88.89,99
34.00,15.30,32768,8.08,91.92,99
32.00,13.00,262144,4.00,96.00,100
26.00,90.00,27,100.00,0.00,98
30.00,13.00,262144,7.07,92.93,99
36.00,13.00,262144,8.00,92.00,100
22.00,90.00,36,100.00,0.00,98
34.00,13.00,262144,10.00,90.00,100
24.00,90.00,36,100.00,0.00,98
34.00,19.70,4096,7.07,92.93,99
36.00,32.30,512,93.94,6.06,99
38.00,90.00,18,100.00,0.00,99
38.00,32.30,512,90.91,9.09,99
24.00,90.00,18,100.00,0.00,98
28.00,90.00,18,100.00,0.00,98
26.00,90.00,36,100.00,0.00,98
26.00,90.00,18,100.00,0.00,98
22.00,15.30,32768,7.07,92.93,99
30.00,90.00,27,100.00,0.00,98
36.00,90.00,36,100.00,0.00,99
26.00,15.30,32768,6.06,93.94,99
26.00,19.70,4096,11.22,88.78,98
28.00,19.70,4096,9.38,90.62,96
38.00,13.00,262144,3.00,97.00,100
36.00,15.30,32768,6.06,93.94,99
40.00,15.30,32768,8.00,92.00,100
24.00,32.30,512,92.86,7.14,98
32.00,90.00,36,100.00,0.00,99
26.00,13.00,262144,5.15,94.85,97
38.00,15.30,32768,7.07,92.93,99
34.00,90.00,18,100.00,0.00,99
40.00,13.00,262144,8.00,92.00,100
28.00,90.00,36,100.00,0.00,98
38.00,19.70,4096,6.06,93.94,99
24.00,15.30,32768,5.10,94.90,98
24.00,13.00,262144,7.07,92.93,99
22.00,13.00,262144,13.00,87.00,100
32.00,15.30,32768,7.00,93.00,100
36.00,19.70,4096,8.08,91.92,99
20.00,13.00,262144,8.08,91.92,99
26.00,32.30,512,85.86,14.14,99
