arrival_rate,bp_L,bp_H,FCFS_percentage,RMLF_percentage,total_rounds
34.00,90.00,18,100.00,0.00,99
22.00,32.30,512,85.71,14.29,98
28.00,32.30,512,93.88,6.12,98
26.00,32.30,512,92.93,7.07,99
40.00,32.30,512,90.91,9.09,99
24.00,90.00,36,100.00,0.00,98
22.00,90.00,36,100.00,0.00,98
30.00,90.00,27,100.00,0.00,99
40.00,13.00,262144,6.19,93.81,97
30.00,90.00,18,100.00,0.00,99
36.00,90.00,27,100.00,0.00,99
40.00,90.00,36,100.00,0.00,99
38.00,90.00,36,100.00,0.00,99
26.00,15.30,32768,4.04,95.96,99
38.00,19.70,4096,6.06,93.94,99
36.00,13.00,262144,16.00,84.00,100
28.00,90.00,27,100.00,0.00,98
34.00,90.00,36,100.00,0.00,99
40.00,90.00,18,100.00,0.00,99
40.00,19.70,4096,8.08,91.92,99
26.00,90.00,36,100.00,0.00,98
22.00,90.00,27,100.00,0.00,97
36.00,32.30,512,92.93,7.07,99
30.00,13.00,262144,13.00,87.00,100
22.00,90.00,18,100.00,0.00,97
20.00,13.00,262144,13.27,86.73,98
28.00,90.00,18,100.00,0.00,98
28.00,13.00,262144,5.00,95.00,100
26.00,90.00,27,100.00,0.00,98
34.00,90.00,27,100.00,0.00,99
26.00,90.00,18,100.00,0.00,98
32.00,32.30,512,92.86,7.14,98
30.00,32.30,512,96.97,3.03,99
36.00,15.30,32768,3.00,97.00,100
32.00,19.70,4096,8.08,91.92,99
36.00,19.70,4096,13.13,86.87,99
26.00,19.70,4096,8.16,91.84,98
40.00,15.30,32768,8.00,92.00,100
38.00,32.30,512,89.90,10.10,99
34.00,32.30,512,89.80,10.20,98
28.00,90.00,36,100.00,0.00,99
32.00,90.00,36,100.00,0.00,99
24.00,90.00,27,100.00,0.00,98
36.00,90.00,36,100.00,0.00,99
28.00,15.30,32768,9.38,90.62,96
36.00,90.00,18,100.00,0.00,99
20.00,19.70,4096,8.08,91.92,99
30.00,19.70,4096,7.07,92.93,99
32.00,90.00,27,100.00,0.00,99
24.00,32.30,512,86.73,13.27,98
40.00,90.00,27,100.00,0.00,99
24.00,90.00,18,100.00,0.00,97
38.00,90.00,18,100.00,0.00,99
38.00,90.00,27,100.00,0.00,99
34.00,13.00,262144,8.00,92.00,100
34.00,15.30,32768,6.06,93.94,99
38.00,13.00,262144,10.10,89.90,99
24.00,13.00,262144,11.11,88.89,99
30.00,90.00,36,100.00,0.00,99
20.00,15.30,32768,6.06,93.94,99
22.00,13.00,262144,5.21,94.79,96
34.00,19.70,4096,7.07,92.93,99
22.00,15.30,32768,2.04,97.96,98
28.00,19.70,4096,10.10,89.90,99
26.00,13.00,262144,8.08,91.92,99
32.00,90.00,18,100.00,0.00,99
24.00,19.70,4096,10.75,89.25,93
20.00,32.30,512,91.75,8.25,97
20.00,90.00,27,100.00,0.00,97
32.00,15.30,32768,5.05,94.95,99
32.00,13.00,262144,7.00,93.00,100
20.00,90.00,18,100.00,0.00,97
20.00,90.00,36,100.00,0.00,97
24.00,15.30,32768,7.07,92.93,99
30.00,15.30,32768,8.00,92.00,100
22.00,19.70,4096,7.37,92.63,95
38.00,15.30,32768,5.00,95.00,100
