frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,223726.327130,99319.000000,2185.576812
4,145700.405161,58859.000000,430.758633
8,187941.369544,92627.000000,340.458514
16,139931.444458,54630.000000,226.163658
32,203179.137170,59422.000000,387.074928
64,154175.434382,69350.000000,157.825853
128,549279.640099,292324.000000,22762.436798
256,248032.122289,96025.000000,1520.523594
512,133673.728107,29758.000000,4242.028524
1024,204396.542759,45559.000000,7148.266643
2048,214157.629997,95050.000000,19181.124211
4096,421820.610917,225738.000000,67971.715963
8192,270317.700878,59832.000000,15931.786623
16384,405698.015658,91649.000000,223837.554175
32768,627275.057051,134586.000000,297963.083490
65536,350911.363273,77837.000000,132640.566811
