frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,715834.462514,302216.000000,1391.412951
4,587184.738186,223447.000000,88.034084
8,822464.497424,260121.000000,157.670543
16,882059.140358,239977.000000,200.317248
32,1263640.679406,293980.000000,365.975409
64,976419.666459,258088.000000,1238.037156
128,616604.431395,219930.000000,2191.769148
256,1136171.619052,274870.000000,35190.754667
512,876198.672919,178013.000000,27552.356142
1024,891530.150097,253823.000000,138102.110368
2048,1054077.562264,295010.000000,201738.690570
4096,994552.872990,233753.000000,200480.145645
8192,1363273.160319,296378.000000,800639.081872
16384,1534541.321471,223593.000000,261450.827897
32768,1457421.777220,144382.000000,1335337.387872
65536,3070296.858418,292251.000000,2580910.450525
