frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,564547.187707,121558.000000,264.034089
4,170179.417904,70638.000000,3715.524055
8,312947.118041,141762.000000,965.723563
16,295641.394338,169738.000000,2841.490278
32,214355.860312,89514.000000,391.965560
64,124460.652401,54080.000000,1911.334612
128,1189132.532132,146076.000000,4400.451568
256,200489.490854,93768.000000,324.246820
512,584571.595971,140211.000000,4890.408470
1024,707737.767797,288303.000000,7358.326780
2048,697561.169177,225393.000000,4022.041148
4096,502423.660883,243947.000000,244389.278658
8192,282470.430829,123267.000000,22426.715341
16384,636045.350492,159928.000000,545049.204557
32768,527352.626655,301124.000000,99894.383626
65536,716899.715483,222223.000000,614708.461525
