frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,510025.521246,234407.000000,1289.452209
4,480002.711376,274187.000000,1251.712427
8,769723.614672,191553.000000,934.305625
16,777472.938500,122436.000000,134.067147
32,195991.349901,48511.000000,1031.107657
64,2003206.502503,191681.000000,331.030210
128,957659.526937,189388.000000,3749.799195
256,277327.418729,109138.000000,1063.920110
512,408535.676605,68121.000000,1977.840236
1024,426318.730200,131794.000000,17810.537948
2048,571859.061117,83674.000000,9294.304277
4096,221386.775669,24589.000000,53230.563927
8192,164975.406901,43775.000000,19337.203417
16384,720168.520509,292911.000000,527281.809785
32768,287850.156776,55739.000000,61718.708371
65536,453472.875933,176688.000000,400749.717043
