frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
2,43892668.820738345,544748
4,96690196.48022449,1156644
8,2385912.5794670265,32765
16,100669050.84247848,1245544
32,47001200.4645838,573722
64,107687369.44849968,1320414
128,5824683.041145586,62267
256,48219462.54020986,612786
512,47716931.70058931,608218
1024,94720745.28026015,1192051
2048,5696628.411187007,53576
4096,4742443.611244629,45888
8192,98060364.25280571,1230463
16384,45615745.62095074,529004
32768,2059749.7681686967,26038
65536,50617135.573487945,651775
