frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
2,124485239.6720366,1628711
4,1496930.4898451364,28634
8,47973337.48996756,576072
16,50857134.07638058,640078
32,3921219.015760405,44043
64,4506587.620468285,60970
128,51619967.90180609,638377
256,51707443.21526909,795924
512,5259884.511186914,55716
1024,67091916.923442446,829456
2048,52852239.96504113,628311
4096,9718897.04910228,156431
8192,46131339.765142165,579687
16384,52511323.913804494,634929
32768,46167748.860071786,585967
65536,94117403.68150601,1163278
