frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
2,45328724.971815564,580358
4,1038004.3823525024,17144
8,1894577.933015161,22989
16,50007313.80155903,603213
32,102169308.96848656,1243067
64,44189351.22314538,556186
128,47230560.368771784,613686
256,91869438.79667833,1168456
512,97904330.98009318,1197539
1024,107335322.02610977,1299109
2048,94524715.511152,1206230
4096,1794438.5322164146,24128
8192,5884285.6707281815,93272
16384,1234790.9422412363,28916
32768,3226613.14041101,87334
65536,43141705.127105094,557310
