frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
2,114742314.74392918,1422225
4,10609609.0957696,95576
8,95411698.67011103,1311549
16,106862202.97857468,1338499
32,9896103.983871935,105942
64,2043028.5686756806,22285
128,93873289.95984828,1172728
256,102267124.78890158,1226183
512,96350809.37744577,1176257
1024,87014505.75480427,1051728
2048,49363022.65236053,575701
4096,88825306.0513326,1078965
8192,6008094.679955951,60929
16384,4730157.756032244,56062
32768,7634238.606488273,81424
65536,14504316.915531458,279378
