frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
2,95173537.82765155,1154636
4,100073838.95469907,1258163
8,90880672.03795448,1240121
16,1789773.9078229966,27310
32,9330903.55337172,96528
64,48672512.749107234,595164
128,1292338.629399818,18492
256,93872160.87401526,1174632
512,96505478.34931493,1174845
1024,95569624.41669707,1182768
2048,51145051.59556514,646952
4096,49879702.09411847,603732
8192,99619994.48619784,1252575
16384,98226680.8002944,1162356
32768,98885566.8085403,1259479
65536,102496179.88586703,1271601
