frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
2,5740094.135380185,77874
4,59727125.620898105,695047
8,46613069.39505045,576540
16,102081605.63826405,1232812
32,1372930.0833720558,16088
64,49420839.69837088,609098
128,58939447.007977195,699527
256,55116338.78226662,690206
512,104654147.29277934,1280083
1024,53405566.62446656,645147
2048,53537959.11343395,644678
4096,56573107.11363304,682268
8192,6660621.55812789,74127
16384,3397780.900616901,44037
32768,4406936.943854541,62180
65536,43076962.556775786,538435
