frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
2,46416268.221217796,565896
4,97619892.61901708,1200212
8,93606620.30527216,1153469
16,6132480.70146674,55811
32,50913883.04388254,599775
64,55734205.33622906,664029
128,103743493.78016856,1235100
256,6684567.798359517,58532
512,49849720.22435856,637932
1024,94455457.68902127,1132630
2048,4638206.661467555,45263
4096,2522260.6188780335,31583
8192,50767773.68628715,629141
16384,94725323.71262793,1143551
32768,62332028.10379025,711188
65536,101088832.48210207,1214654
