frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
2,736472.5501537719,15610
4,49753134.46195816,578171
8,48073401.245428264,582148
16,47983680.70896022,584006
32,2903194.494340157,38686
64,94794087.60537206,1150049
128,51620281.539932854,626209
256,105080306.21309552,1255448
512,99110922.0644385,1213073
1024,99458416.36698124,1258583
2048,90694997.31890774,1143342
4096,100874763.02418844,1259868
8192,52168655.091883086,627758
16384,107219191.86540467,1274652
32768,102986649.38297175,1268511
65536,101784131.80983452,1266877
