frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
2,88747735.34805463,1108538
4,754988.843392404,11987
8,1088095.4109782837,24256
16,101444979.67698734,1216163
32,108041641.53746192,1337523
64,444981.9653952281,8944
128,50834878.388039514,628601
256,46316451.502696104,580737
512,74581754.53522164,844724
1024,91760404.03634155,1127166
2048,49513770.82493236,702471
4096,94151283.88269475,1206180
8192,1083804.6604540877,19894
16384,52048647.071232215,640874
32768,99837169.51445456,1225692
65536,58889273.95356732,728640
