frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
2,1655583.3189987752,27912
4,44902089.24568844,538449
8,52855729.791699626,611769
16,1184674.7294093007,21054
32,45677513.6739379,563755
64,3348057.512070992,54914
128,46861776.04317961,563273
256,94517446.36967584,1233038
512,2471760.0676829456,45531
1024,50333716.185816534,605711
2048,47479553.129906975,568195
4096,4721516.527922464,50404
8192,59417977.84820531,727160
16384,50052662.830585524,614421
32768,5748107.544134504,74012
65536,70730514.63849178,819815
