frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,199640.067644,146663.000000,0.000000
4,1135870.490710,337210.000000,0.000000
8,562036.136160,263011.000000,0.000000
16,230084.928774,122448.000000,0.000000
32,508418.724102,204779.000000,0.000000
64,470162.945638,189044.000000,0.000000
128,187054.167839,110602.000000,0.000000
256,311688.164979,124633.000000,0.000000
512,903116.938693,317918.000000,0.000000
1024,538451.897026,158928.000000,0.000000
2048,941838.285843,275253.000000,0.000000
4096,1524497.354846,316616.000000,0.000000
8192,388654.811910,113846.000000,0.000000
16384,517660.298334,192521.000000,0.000000
32768,1605064.497042,269387.000000,0.000000
65536,1437792.491071,216578.000000,0.000000
