frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,387131.384901,243755.000000,1776.481354
4,655348.937076,329338.000000,82.389320
8,117206.822557,45096.000000,287.440429
16,172698.282033,75280.000000,53.329167
32,277989.037656,155042.000000,85.463442
64,397746.651931,210466.000000,3391.901532
128,518492.363481,299159.000000,121046.944530
256,503364.603138,271557.000000,1313.371996
512,632411.154441,269477.000000,4044.461522
1024,178210.639828,52484.000000,8249.135834
2048,271310.640641,89345.000000,90229.862767
4096,672728.481225,372656.000000,153337.548771
8192,730864.561104,288426.000000,408192.150424
16384,551912.435493,88935.000000,467804.857254
32768,1781351.536018,207945.000000,1644588.364394
65536,1476131.471227,112635.000000,1461755.005600
