frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,219329.065160,200524.000000,20.591260
4,105538.315369,56884.000000,17.804494
8,144428.601603,85536.000000,2104.679548
16,186281.100405,63176.000000,26.627054
32,407198.245841,278034.000000,74.404301
64,280534.699269,189141.000000,1265.201960
128,282336.555862,125983.000000,3297.902515
256,478605.326113,309438.000000,4056.803175
512,222582.128472,123561.000000,5685.005981
1024,181691.982801,88288.000000,66875.648378
2048,261385.141988,110793.000000,58183.296735
4096,872054.431554,287961.000000,175761.315971
8192,156601.928369,70449.000000,47888.450967
16384,237560.590294,97823.000000,190252.783872
32768,500051.542730,152466.000000,157518.258462
65536,176449.632864,108909.000000,0.000000
