Round,Algorithm_Used
1,SRPT
2,SRPT
3,FCFS
4,FCFS
5,SRPT
6,SRPT
7,SRPT
8,FCFS
9,SRPT
10,SRPT
11,FCFS
12,FCFS
13,FCFS
14,FCFS
15,FCFS
16,FCFS
17,FCFS
18,FCFS
19,FCFS
20,FCFS
21,FCFS
22,FCFS
23,FCFS
24,FCFS
25,FCFS
26,FCFS
27,SRPT
28,SRPT
29,FCFS
30,FCFS
31,SRPT
32,SRPT
33,FCFS
34,FCFS
35,FCFS
36,FCFS
37,FCFS
38,FCFS
39,FCFS
40,FCFS
41,FCFS
42,FCFS
43,FCFS
44,FCFS
45,FCFS
46,SRPT
47,FCFS
48,FCFS
49,FCFS
50,FCFS
51,FCFS
52,SRPT
53,SRPT
54,SRPT
55,SRPT
56,SRPT
57,SRPT
58,SRPT
59,SRPT
60,SRPT
61,SRPT
62,SRPT
63,SRPT
64,FCFS
65,FCFS
66,FCFS
67,FCFS
68,SRPT
69,SRPT
70,SRPT
71,FCFS
72,FCFS
73,FCFS
74,FCFS
75,FCFS
76,FCFS
77,FCFS
78,FCFS
79,FCFS
80,SRPT
81,SRPT
82,FCFS
83,FCFS
84,FCFS
85,SRPT
86,SRPT
87,SRPT
88,SRPT
89,SRPT
90,SRPT
91,SRPT
92,SRPT
93,SRPT
94,SRPT
95,SRPT
96,SRPT
97,SRPT
98,SRPT
99,FCFS
100,FCFS
