Round,Algorithm_Used
1,SRPT
2,FCFS
3,FCFS
4,SRPT
5,SRPT
6,SRPT
7,SRPT
8,SRPT
9,SRPT
10,SRPT
11,FCFS
12,FCFS
13,FCFS
14,FCFS
15,FCFS
16,FCFS
17,FCFS
18,SRPT
19,SRPT
20,SRPT
21,SRPT
22,FCFS
23,FCFS
24,FCFS
25,FCFS
26,FCFS
27,SRPT
28,SRPT
29,SRPT
30,SRPT
31,SRPT
32,SRPT
33,SRPT
34,SRPT
35,SRPT
36,FCFS
37,FCFS
38,FCFS
39,FCFS
40,FCFS
41,FCFS
42,SRPT
43,SRPT
44,SRPT
45,SRPT
46,SRPT
47,SRPT
48,SRPT
49,SRPT
50,SRPT
51,SRPT
52,SRPT
53,SRPT
54,SRPT
55,SRPT
56,FCFS
57,FCFS
58,FCFS
59,FCFS
60,FCFS
61,FCFS
62,FCFS
63,FCFS
64,FCFS
65,FCFS
66,FCFS
67,FCFS
68,FCFS
69,FCFS
70,FCFS
71,FCFS
72,SRPT
73,SRPT
74,SRPT
75,SRPT
76,SRPT
77,SRPT
78,SRPT
79,SRPT
80,SRPT
81,SRPT
82,SRPT
83,SRPT
84,SRPT
85,SRPT
86,SRPT
87,SRPT
88,SRPT
89,SRPT
90,SRPT
91,SRPT
92,SRPT
93,SRPT
94,FCFS
95,FCFS
96,FCFS
97,SRPT
98,SRPT
99,SRPT
100,SRPT
