Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SJF_L2_norm_flow_time,SJF_maximum_flow_time
36,4.073000,262144.000000,705518.120574,48140.000000
36,4.639000,32768.000000,485102.200733,110093.000000
36,5.649000,4096.000000,65627.006430,7766.000000
36,7.918000,512.000000,29259.182610,7616.000000
36,16.772000,64.000000,19421.013388,4020.000000
36,30.000000,6.000000,21164.507389,3698.000000
36,30.000000,9.000000,20008.615169,3431.000000
36,30.000000,12.000000,21222.430940,4727.000000
36,30.000000,15.000000,21646.015823,4680.000000
36,30.000000,18.000000,28083.445052,6108.000000
