Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SJF_L2_norm_flow_time,SJF_maximum_flow_time
26,4.073000,262144.000000,154047.715381,50163.000000
26,4.639000,32768.000000,415998.451649,236898.000000
26,5.649000,4096.000000,761835.821870,276748.000000
26,7.918000,512.000000,2405377.984780,300146.000000
26,16.772000,64.000000,4636762.101243,296525.000000
26,30.000000,6.000000,5484924.950079,296969.000000
26,30.000000,9.000000,5205345.253718,303129.000000
26,30.000000,12.000000,4667822.522845,292585.000000
26,30.000000,15.000000,4622834.127173,303495.000000
26,30.000000,18.000000,4498137.318459,300572.000000
