Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SJF_L2_norm_flow_time,SJF_maximum_flow_time
30,4.073000,262144.000000,209650.205273,48646.000000
30,4.639000,32768.000000,536514.906812,288281.000000
30,5.649000,4096.000000,247003.643927,92590.000000
30,7.918000,512.000000,654589.324612,268535.000000
30,16.772000,64.000000,613279.800279,137144.000000
30,30.000000,6.000000,1576761.197011,293472.000000
30,30.000000,9.000000,817713.900004,208888.000000
30,30.000000,12.000000,1242049.851108,252355.000000
30,30.000000,15.000000,1628027.200428,266795.000000
30,30.000000,18.000000,844906.883549,172012.000000
