Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SJF_L2_norm_flow_time,SJF_maximum_flow_time
30,4.073000,262144.000000,434945.268716,47422.000000
30,4.639000,32768.000000,128799.004701,25015.000000
30,5.649000,4096.000000,240429.292964,158481.000000
30,7.918000,512.000000,370697.474901,182069.000000
30,16.772000,64.000000,1469240.024315,263132.000000
30,30.000000,6.000000,2201342.416299,283192.000000
30,30.000000,9.000000,2257376.880368,297446.000000
30,30.000000,12.000000,1382374.581009,246376.000000
30,30.000000,15.000000,2096886.738909,304812.000000
30,30.000000,18.000000,1581153.555964,283837.000000
