Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SJF_L2_norm_flow_time,SJF_maximum_flow_time
24,4.073000,262144.000000,440893.118110,262408.000000
24,4.639000,32768.000000,410633.790491,186586.000000
24,5.649000,4096.000000,1003809.518899,264300.000000
24,7.918000,512.000000,2123093.169565,287983.000000
24,16.772000,64.000000,5701108.153918,291962.000000
24,30.000000,6.000000,6643635.040375,302016.000000
24,30.000000,9.000000,6240706.013868,298698.000000
24,30.000000,12.000000,5547053.665411,293872.000000
24,30.000000,15.000000,5756918.006363,304385.000000
24,30.000000,18.000000,5604109.669032,303985.000000
