Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SJF_L2_norm_flow_time,SJF_maximum_flow_time
28,4.073000,262144.000000,508142.820596,98942.000000
28,4.639000,32768.000000,204118.215314,43537.000000
28,5.649000,4096.000000,283049.376445,181719.000000
28,7.918000,512.000000,1060565.639602,282848.000000
28,16.772000,64.000000,3055273.197240,288220.000000
28,30.000000,6.000000,4081606.390298,304251.000000
28,30.000000,9.000000,3284122.760842,282275.000000
28,30.000000,12.000000,3269352.217567,298984.000000
28,30.000000,15.000000,2934697.906918,292171.000000
28,30.000000,18.000000,3022447.850081,300190.000000
