Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SJF_L2_norm_flow_time,SJF_maximum_flow_time
22,4.073000,262144.000000,399803.530057,189384.000000
22,4.639000,32768.000000,934552.522152,253377.000000
22,5.649000,4096.000000,1422206.826730,247285.000000
22,7.918000,512.000000,3088682.592290,310138.000000
22,16.772000,64.000000,6320961.762439,297452.000000
22,30.000000,6.000000,7503432.852631,298052.000000
22,30.000000,9.000000,7387653.857104,303430.000000
22,30.000000,12.000000,6818577.846399,299918.000000
22,30.000000,15.000000,6944650.266027,302065.000000
22,30.000000,18.000000,6393217.542701,303822.000000
