Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SJF_L2_norm_flow_time,SJF_maximum_flow_time
22,4.073000,262144.000000,313573.582641,171223.000000
22,4.639000,32768.000000,594488.934477,229204.000000
22,5.649000,4096.000000,1513180.156260,263863.000000
22,7.918000,512.000000,2876952.642206,289019.000000
22,16.772000,64.000000,6501508.250447,301730.000000
22,30.000000,6.000000,7453683.299890,301184.000000
22,30.000000,9.000000,7311032.985726,302171.000000
22,30.000000,12.000000,6646179.139322,300613.000000
22,30.000000,15.000000,6487789.942806,301630.000000
22,30.000000,18.000000,6398513.059285,297981.000000
