Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SJF_L2_norm_flow_time,SJF_maximum_flow_time
28,4.073000,262144.000000,1426317.320139,274511.000000
28,4.639000,32768.000000,171570.887545,59395.000000
28,5.649000,4096.000000,689545.386693,287597.000000
28,7.918000,512.000000,1271198.805250,282558.000000
28,16.772000,64.000000,2804212.117854,297849.000000
28,30.000000,6.000000,3947905.208348,296360.000000
28,30.000000,9.000000,3703448.155275,298150.000000
28,30.000000,12.000000,2898408.237530,295969.000000
28,30.000000,15.000000,4288576.367766,300785.000000
28,30.000000,18.000000,3621457.057699,298912.000000
