Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SJF_L2_norm_flow_time,SJF_maximum_flow_time
30,4.073000,262144.000000,382295.811626,54793.000000
30,4.639000,32768.000000,607919.452109,167188.000000
30,5.649000,4096.000000,563492.433397,298591.000000
30,7.918000,512.000000,212180.194292,83838.000000
30,16.772000,64.000000,1127694.168501,205026.000000
30,30.000000,6.000000,1620134.778373,253532.000000
30,30.000000,9.000000,1529247.852558,263932.000000
30,30.000000,12.000000,1372126.465309,299137.000000
30,30.000000,15.000000,2038345.579977,306055.000000
30,30.000000,18.000000,808733.226844,176643.000000
