Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SJF_L2_norm_flow_time,SJF_maximum_flow_time
34,4.073000,262144.000000,471003.050642,72305.000000
34,4.639000,32768.000000,769885.245095,109546.000000
34,5.649000,4096.000000,129549.718938,48489.000000
34,7.918000,512.000000,44835.739160,26135.000000
34,16.772000,64.000000,47299.232890,14464.000000
34,30.000000,6.000000,45047.719620,12832.000000
34,30.000000,9.000000,48660.283651,11767.000000
34,30.000000,12.000000,35275.123472,9514.000000
34,30.000000,15.000000,39727.920006,10212.000000
34,30.000000,18.000000,50254.562161,13285.000000
