Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SJF_L2_norm_flow_time,SJF_maximum_flow_time
40,4.073000,262144.000000,63466.363579,8328.000000
40,4.639000,32768.000000,185157.116990,19543.000000
40,5.649000,4096.000000,67017.790556,9784.000000
40,7.918000,512.000000,25080.414809,8379.000000
40,16.772000,64.000000,16077.620160,3292.000000
40,30.000000,6.000000,11161.302612,1477.000000
40,30.000000,9.000000,12535.286195,2596.000000
40,30.000000,12.000000,13034.174619,2507.000000
40,30.000000,15.000000,12494.548491,2451.000000
40,30.000000,18.000000,14601.413733,4355.000000
