Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SJF_L2_norm_flow_time,SJF_maximum_flow_time
28,4.073000,262144.000000,364434.571678,90934.000000
28,4.639000,32768.000000,171806.213077,71344.000000
28,5.649000,4096.000000,303187.180113,185226.000000
28,7.918000,512.000000,1382981.342328,301086.000000
28,16.772000,64.000000,3551189.722474,297346.000000
28,30.000000,6.000000,3373695.869636,272710.000000
28,30.000000,9.000000,3577068.944579,285097.000000
28,30.000000,12.000000,3270021.572293,298613.000000
28,30.000000,15.000000,3061833.176039,296210.000000
28,30.000000,18.000000,3583130.199814,297141.000000
