Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SJF_L2_norm_flow_time,SJF_maximum_flow_time
28,4.073000,262144.000000,1323973.973496,143521.000000
28,4.639000,32768.000000,587612.979897,208027.000000
28,5.649000,4096.000000,402950.452473,196942.000000
28,7.918000,512.000000,1132088.187758,242154.000000
28,16.772000,64.000000,3037017.820187,300269.000000
28,30.000000,6.000000,4106829.935892,300397.000000
28,30.000000,9.000000,3763694.414116,298789.000000
28,30.000000,12.000000,3759332.230457,297543.000000
28,30.000000,15.000000,3470632.979247,300054.000000
28,30.000000,18.000000,3409569.075138,302651.000000
