Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SJF_L2_norm_flow_time,SJF_maximum_flow_time
20,4.073000,262144.000000,528860.161131,183424.000000
20,4.639000,32768.000000,1003676.851776,243542.000000
20,5.649000,4096.000000,1812069.428436,279991.000000
20,7.918000,512.000000,3564048.545827,301379.000000
20,16.772000,64.000000,7226141.966831,299884.000000
20,30.000000,6.000000,8435516.242029,301797.000000
20,30.000000,9.000000,7992563.696516,298848.000000
20,30.000000,12.000000,7736684.188262,300807.000000
20,30.000000,15.000000,7577876.550876,301495.000000
20,30.000000,18.000000,7191319.106160,304006.000000
