Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SJF_L2_norm_flow_time,SJF_maximum_flow_time
34,4.073000,262144.000000,8344609.513081,281623.000000
34,4.639000,32768.000000,1146884.248155,104722.000000
34,5.649000,4096.000000,114016.857469,39542.000000
34,7.918000,512.000000,35989.645177,15477.000000
34,16.772000,64.000000,50790.443481,18040.000000
34,30.000000,6.000000,50497.663174,8936.000000
34,30.000000,9.000000,36506.696235,8979.000000
34,30.000000,12.000000,33706.241855,6668.000000
34,30.000000,15.000000,47602.130761,10104.000000
34,30.000000,18.000000,48170.960879,9513.000000
