Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SJF_L2_norm_flow_time,SJF_maximum_flow_time
22,4.073000,262144.000000,636725.058459,369340.000000
22,4.639000,32768.000000,649654.686596,249387.000000
22,5.649000,4096.000000,1450532.878159,266737.000000
22,7.918000,512.000000,2910066.321975,286114.000000
22,16.772000,64.000000,6565008.904808,302423.000000
22,30.000000,6.000000,7366369.153076,299035.000000
22,30.000000,9.000000,7010279.344362,300713.000000
22,30.000000,12.000000,6884248.028372,304779.000000
22,30.000000,15.000000,6515795.065610,293004.000000
22,30.000000,18.000000,6436312.385489,304851.000000
