Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SJF_L2_norm_flow_time,SJF_maximum_flow_time
36,4.073000,262144.000000,227391.478147,31200.000000
36,4.639000,32768.000000,279238.506188,62698.000000
36,5.649000,4096.000000,109491.861140,38708.000000
36,7.918000,512.000000,23452.037737,6306.000000
36,16.772000,64.000000,19892.788618,3905.000000
36,30.000000,6.000000,22352.000917,4076.000000
36,30.000000,9.000000,23577.689603,5320.000000
36,30.000000,12.000000,22238.347511,4410.000000
36,30.000000,15.000000,29608.499607,7967.000000
36,30.000000,18.000000,33656.578243,8348.000000
