Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SJF_L2_norm_flow_time,SJF_maximum_flow_time
26,4.073000,262144.000000,328345.114252,69872.000000
26,4.639000,32768.000000,501353.030312,282568.000000
26,5.649000,4096.000000,775161.298437,272028.000000
26,7.918000,512.000000,2037462.535561,290990.000000
26,16.772000,64.000000,4711158.500751,300153.000000
26,30.000000,6.000000,5141319.459181,291958.000000
26,30.000000,9.000000,5146672.175838,299847.000000
26,30.000000,12.000000,4797216.149592,298945.000000
26,30.000000,15.000000,4676914.996697,298980.000000
26,30.000000,18.000000,4458376.583519,302715.000000
