Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SJF_L2_norm_flow_time,SJF_maximum_flow_time
34,4.073000,262144.000000,402760.864607,51971.000000
34,4.639000,32768.000000,98799.546381,17958.000000
34,5.649000,4096.000000,97816.009549,27636.000000
34,7.918000,512.000000,42375.418759,16555.000000
34,16.772000,64.000000,48336.307275,15227.000000
34,30.000000,6.000000,40425.785249,6557.000000
34,30.000000,9.000000,45275.903790,9196.000000
34,30.000000,12.000000,34507.151331,9910.000000
34,30.000000,15.000000,89322.762670,40124.000000
34,30.000000,18.000000,37998.305067,9683.000000
