Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SJF_L2_norm_flow_time,SJF_maximum_flow_time
38,4.073000,262144.000000,228391.874313,22333.000000
38,4.639000,32768.000000,249601.857675,25962.000000
38,5.649000,4096.000000,55794.164265,6338.000000
38,7.918000,512.000000,18890.183879,3620.000000
38,16.772000,64.000000,16254.662746,3165.000000
38,30.000000,6.000000,17031.479296,2901.000000
38,30.000000,9.000000,16485.640873,3230.000000
38,30.000000,12.000000,16537.794835,3157.000000
38,30.000000,15.000000,16212.118029,3627.000000
38,30.000000,18.000000,18038.334568,3932.000000
