Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SJF_L2_norm_flow_time,SJF_maximum_flow_time
40,4.073000,262144.000000,3263262.238496,132219.000000
40,4.639000,32768.000000,306493.917966,39767.000000
40,5.649000,4096.000000,80803.101809,11832.000000
40,7.918000,512.000000,19975.441872,6117.000000
40,16.772000,64.000000,14041.204756,2566.000000
40,30.000000,6.000000,14946.554218,3485.000000
40,30.000000,9.000000,12634.417201,1999.000000
40,30.000000,12.000000,13503.662799,2420.000000
40,30.000000,15.000000,14083.758412,4302.000000
40,30.000000,18.000000,13817.281353,2956.000000
