Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SJF_L2_norm_flow_time,SJF_maximum_flow_time
40,4.073000,262144.000000,115923.913922,19353.000000
40,4.639000,32768.000000,251536.597691,23587.000000
40,5.649000,4096.000000,93075.555862,16287.000000
40,7.918000,512.000000,21319.088864,4575.000000
40,16.772000,64.000000,12856.213906,3041.000000
40,30.000000,6.000000,14623.918490,3072.000000
40,30.000000,9.000000,13663.248333,2984.000000
40,30.000000,12.000000,12033.339229,1585.000000
40,30.000000,15.000000,14727.276768,2565.000000
40,30.000000,18.000000,17332.115710,3776.000000
