Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SJF_L2_norm_flow_time,SJF_maximum_flow_time
24,4.073000,262144.000000,603483.430204,233605.000000
24,4.639000,32768.000000,501080.773290,248911.000000
24,5.649000,4096.000000,873112.954861,258331.000000
24,7.918000,512.000000,2443350.745534,302411.000000
24,16.772000,64.000000,5902244.550200,302455.000000
24,30.000000,6.000000,6380010.284683,298226.000000
24,30.000000,9.000000,6373859.830255,298438.000000
24,30.000000,12.000000,5818350.137698,299825.000000
24,30.000000,15.000000,5804399.940988,306850.000000
24,30.000000,18.000000,5417130.897374,303215.000000
