Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SJF_L2_norm_flow_time,SJF_maximum_flow_time
22,4.073000,262144.000000,2034988.083887,183410.000000
22,4.639000,32768.000000,805131.123398,288873.000000
22,5.649000,4096.000000,1499003.931424,297008.000000
22,7.918000,512.000000,2889292.980815,280441.000000
22,16.772000,64.000000,6625133.218602,297466.000000
22,30.000000,6.000000,7739470.696663,301312.000000
22,30.000000,9.000000,7267689.091916,299096.000000
22,30.000000,12.000000,6903078.038513,300955.000000
22,30.000000,15.000000,6616930.054174,294041.000000
22,30.000000,18.000000,6052686.966855,302329.000000
