Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SJF_L2_norm_flow_time,SJF_maximum_flow_time
20,4.073000,262144.000000,570436.749340,213224.000000
20,4.639000,32768.000000,1142508.989335,252275.000000
20,5.649000,4096.000000,1563779.905413,257737.000000
20,7.918000,512.000000,3539362.460854,295265.000000
20,16.772000,64.000000,7331608.973609,298942.000000
20,30.000000,6.000000,8437061.358235,299174.000000
20,30.000000,9.000000,8247537.306229,299749.000000
20,30.000000,12.000000,7547829.564353,297912.000000
20,30.000000,15.000000,7220202.087031,300690.000000
20,30.000000,18.000000,7137952.803951,304687.000000
