Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SJF_L2_norm_flow_time,SJF_maximum_flow_time
34,4.073000,262144.000000,215708.979767,29732.000000
34,4.639000,32768.000000,97580.737013,13214.000000
34,5.649000,4096.000000,109452.204733,23729.000000
34,7.918000,512.000000,53329.767269,20218.000000
34,16.772000,64.000000,46534.590059,12549.000000
34,30.000000,6.000000,43497.731826,7875.000000
34,30.000000,9.000000,49092.032836,11198.000000
34,30.000000,12.000000,34836.131243,6057.000000
34,30.000000,15.000000,37781.428043,12250.000000
34,30.000000,18.000000,31562.179852,6108.000000
