Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SJF_L2_norm_flow_time,SJF_maximum_flow_time
32,4.073000,262144.000000,1011095.008289,103786.000000
32,4.639000,32768.000000,322845.379676,49759.000000
32,5.649000,4096.000000,266803.127480,157672.000000
32,7.918000,512.000000,56502.546898,24003.000000
32,16.772000,64.000000,58023.348404,18328.000000
32,30.000000,6.000000,237086.874314,65690.000000
32,30.000000,9.000000,109622.246310,23098.000000
32,30.000000,12.000000,215762.674207,63236.000000
32,30.000000,15.000000,63553.684590,20213.000000
32,30.000000,18.000000,113948.148116,27036.000000
