Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SJF_L2_norm_flow_time,SJF_maximum_flow_time
26,4.073000,262144.000000,4749460.271517,188854.000000
26,4.639000,32768.000000,204041.624597,111585.000000
26,5.649000,4096.000000,973021.205283,305916.000000
26,7.918000,512.000000,1811692.716108,293156.000000
26,16.772000,64.000000,4600970.771210,296201.000000
26,30.000000,6.000000,5564464.312052,301201.000000
26,30.000000,9.000000,5302694.868762,300574.000000
26,30.000000,12.000000,4697636.549333,301790.000000
26,30.000000,15.000000,4463302.808869,298142.000000
26,30.000000,18.000000,4783016.506345,307553.000000
